month,views_sum
2008-05,121576
2008-12,105662
2009-06,18178
2009-08,5982
2009-09,8771
2009-11,30909
2010-07,4292
2010-09,191456
2010-10,3580
2011-03,10488
2011-04,134193
2011-05,97660
2011-06,180583
2011-07,300619
2011-08,168876
2011-10,533283
2011-11,8982
2011-12,54637
2012-01,1520
2012-02,10144
2012-03,18936
2012-04,47192
2012-05,34684
2012-06,483132
2012-07,3847
2012-08,202997
2012-10,59640
2012-11,435932
2012-12,139609
2013-01,351456
2013-03,151920
2013-04,193626
2013-05,24470
2013-07,156815
2013-08,259682
2013-10,6656
2013-11,129986
2014-01,19641
2014-02,150636
2014-03,18213
2014-04,573845
2014-05,74933
2014-06,228255
2014-07,253283
2014-11,5277
2014-12,1715740
2015-01,2334283
2015-02,1630213
2015-03,612467
2015-04,378132
2015-05,243679
2015-06,736557
2015-07,3329540
2015-08,365620
2015-09,748446
2015-10,759307
2015-11,1741281
2015-12,640177
2016-01,466108
2016-02,812093
2016-03,2927321
2016-04,1086688
2016-05,73656
2016-06,745336
2016-09,683588
2016-10,981043
2016-11,1779201
2016-12,2888721
2017-01,35151209
2017-04,595663
2017-05,157507
2017-06,364853
2017-07,195664
2017-08,2669062
2017-09,339965
2017-10,198303
2017-11,3252388
2017-12,258976
2018-01,47802
2018-02,51575
2018-03,61444
2018-04,17796
2018-06,6361
2018-07,51447
2018-10,48040
2018-11,15007057
2019-01,2201990
2019-02,74578
2019-03,12782
2019-04,61128
2019-05,15149
2019-07,4528104
2019-08,529429
2019-09,44586
2019-11,2937935
2019-12,403562
2020-01,10296764
2020-03,7729
2020-05,57777
2020-07,1211
2020-08,3169
2020-09,48450
2020-10,38490
2020-11,1787269
2020-12,2626436
2021-01,2386464
2021-02,1791903
2021-03,98359
2021-04,205245
2021-05,755
2021-06,63561
2021-07,965275
2021-08,11161
2021-09,239766
2021-10,31761
2021-11,135789
2021-12,608426
2022-01,2443396
2022-02,15216
2022-03,8170126
2022-04,149094
2022-05,2504367
2022-07,21824852
2022-09,11350
2022-10,3701
2022-11,1208605
2023-01,3788212
2023-02,2942630
2023-03,6017915
2023-04,51247
2023-05,66236
2023-06,147959
2023-07,103168
2023-08,324766
2023-09,77143
2023-10,56611
2023-11,501435
2023-12,36372
2024-02,61979
2024-03,19683
2024-04,26485
2024-05,192185
2024-06,83110
2024-07,221143
2024-08,11484
2024-10,11951
2024-12,10289
2025-03,92762
2025-04,17616
2025-05,183854
2025-06,134325
2025-07,127508
2025-08,49328
2025-09,66040
2025-10,6768883
2025-11,6023276
2025-12,340172
2026-01,602204
2026-02,216892
2026-03,553909
2026-04,1506
